
1
1 (angka)
1 (angko)
1/100
1000
1000 (angka)
1000(inombolo)
100000000
A tăng kỳ
Apem
Asamkhyeya
Asankhyeya
Atausiq
Baako
Benn
Bilião
Billio
Billion
Billionstel
Billioun
Booro
Centiliuni
Centilión
Centiljon
Centillion
Centylion
Chimoza
Cē
De
Decylion
Deka
Dekiliono
Detsillion
Dezillion
Dodezillion
Dua
Dubu
Eens
Eent
Ein
Eins
Elfu
Emu
Enpe
Googol
Go’o
Gúgol
Honnertstel
Huk
Hundertstel
Igihumbi
Inye
Junni
Kavluutit
Kow
Kvadriliontina
Lukumi
Maya
Mila
Millionstel
Miriade
Mirjada
Miríade
Moja
Motsi
Myriad
Myriade
Myriadi
Myriáda
Mɔ̌kɔ́
N'we
Nkóto
Nonillion
Oktillion
Otu
Peteĩ
Quadrillion
Quadrillionstel
Quintillion
Rimwe
Sentiljoona
Sentilyon
Sepiliono
Septilijonas
Septilion
Septilión
Septiljon
Septiljons
Septiljoona
Septillion
Septillón
Septylion
Setina
Sextillion
Su
Tasi
Thihi
Trillion
Trillionstel
Tuhat
Udolu
Undecilion
Undecilión
Undecylion
Undezillion
Uno
Unu
Vạn
Waranqa
Yan
Yek
Zentillion
anderthalb
bil'jon
bilijon
bilijun
bilioi
bilion
bilione
biliontina
bilionésimo
biliun
biliuni
bilió
bilión
biljoen
biljon
biljoona
billion
billionth
billió
billjón
billón
bilyan
bilyon
boÌ€
cacay
cent milionoj
centilhão
centilione
centiliono
centillion
centono
centésimo
cuatrillón
deciljon
decillion
diecisiete
dis
disèt
diznèf
dizwit
dodecilion
dodecilión
douz
duilionono
duodecillion
duodecylion
décillion
einn
en
ewo
gogol
googol
guglo
gugol
gugolas
gugols
gúgol
hundredth
i koo
ian
ikoli
ikórí
immeasurable
it
jo
karant
kat
katreven
katreven-en
katrilyon
katòz
kentilyon
kenz
kpoÌ de
kuatrilioi
kvadrilijonas
kvadrilijun
kvadrilion
kvadrilión
kvadriljon
kvadriljons
kvadriljoona
kvadrillion
kvadrillió
kvariliono
kvaðrilljón
kviniliono
kvintilijonas
kvintilion
kvintilión
kvintiljon
kvintiljons
kvintiljoona
kvintillion
kvintillió
kvintilljón
kwadrylion
kwintylion
mil
miliardono
milionono
miliontina
milionésimo
miljard
mille
milliomod
millionth
millonésimo
