Oxford
Oxonians
Oxonian
Newcastle upon Tyne
Novocastrians
Novocastrian
Liverpool
Liverpudlians
Liverpudlian
Leeds
Leodensians
Leodensian
Birkin
Loiners
Loiner
Biggleswade
Birkinians
Birkinian
Syston
Biggleswadians
Biggleswadian
Appleby-in-Westmorland
Systonians
Systonian
Bristol
Applebians
Applebian
Solihull
Bristolian
Bristolian
Glasgow
Silhillians
Silhillian
Giggleswick
Glaswegians
Glaswegian
Hebden Bridge
Giggleswickians
Giggleswickian
Bingham
Hebdeners
Hebdener
Kingston upon Hull
Binghamites
Binghamite
Leighton Buzzard
Kingstonians
Kingstonian
Dunstable
Hullians
Hullian
Towcester
Leighton Buzzardites
Leighton Buzzardite
Woking
Dunstablians
Dunstablian
Godalming
Towcestrians
Towcestrian
Carlton
Wokingians
Wokingian
Uttoxeter
Godalmingers
Godalminger
Walsall
Carltonians
Carltonian
Wolverhampton
Uxonians
Uxonian
Slough
Walsallians
Walsallian
Finchampstead
Wulfrunians
Wulfrunian
Harrow
Sluffs
Sluff
Milton Keynes
Paludians
Paludian
Bournemouth
Finchampsteadians
Finchampsteadian
Chickerell
Harrovians
Harrovian
Cambridge
Miltonians Keynes
Miltonians Keyne
Christchurch
Bournemouthians
Bournemouthian
Shaftesbury
Chickerellers
Chickereller
Poole
Cantabrigians
Cantabrigian
Peterborough
Christchurchers
Christchurcher
Cirencester
Shatesburians
Shatesburian
Marazion
Poolers
Pooler
Penzance
Peterborians
Peterborian
Chester
Cirencestrians
Cirencestrian
Macclesfield
Marazionites
Marazionite
Stroud
Penzancians
Penzancian
Birkenhead
Cestrians
Cestrian
Torpoint
Maxonians
Maxonian
Penryn
Stroudians
Stroudian
Liskeard
Birkonians
Birkonian
Keynsham
Torpointers
Torpointer
Redruth
Penryners
Penryner
Yeovil
Penrynians
Penrynian
Bath
Liskeardians
Liskeardian
Glastonbury
Keynshamites
Keynshamite
Burnham-on-Sea
Redruthians
Redruthian
Carlisle
Yeovilians
Yeovilian
Bognor Regis
Bathonians
Bathonian
Rye
Glastonburians
Glastonburian
Petworth
Burnhamites
Burnhamite
Roedean
Carlislians
Carlislian
Halifax
Bognorians
Bognorian
Manchester
Ryers
Ryer
Worthing
Petworthians
Petworthian
Grimsby
Rodeanians
Rodeanian
Louth
Haligonians
Haligonian
Bacup
Mancunians
Mancunian
Dumbarton
Worthingers
Worthinger
Barrow-in-Furness
Grimbarians
Grimbarian
Blackpool
Ludensians
Ludensian
Basildon
Bacupians
Bacupian
Coventry
Dumbartonians
Dumbartonian
Giffnock
Barrovians
Barrovian
Birmingham
Sandgronians
Sandgronian
Derby
Blackpudlians
Blackpudlian
Bradninch
Basildoners
Basildoner
Dawlish
Coventrians
Coventrian
Great Torrington
Giffnockians
Giffnockian
Honiton
Birminghamians
Birminghamian
Ilfracombe
Derbeians
Derbeian
Plymouth
Bradninchers
Bradnincher
Totnes
Dawlishians
Dawlishian
Appledore
Torringtonians
Torringtonian
Dundee
Honitonians
Honitonian
Canterbury
Ilfracombians
Ilfracombian
Sevenoaks
Ilfracombers
Ilfracomber
Aldershot
Plymothians
Plymothian
Fleet
Totnesians
Totnesian
Gosport
Appledorians
Appledorian
Waterlooville
Dundonians
Dundonian
Winchester
Cantuarians
Cantuarian
Hartlepool
Sennockians
Sennockian
Leominster
Aldershotians
Aldershotian
Ledbury
Fleetians
Fleetian
Caterham
Gosportians
Gosportian
Cobham
Waterloovillians
Waterloovillian
Ewell
Wintonians
Wintonian
Dorking
Winchesterians
Winchesterian
Inverness
Hartlepudlians
Hartlepudlian
Arbroath
Leominsterians
Leominsterian
Carnoustie
Ledburians
Ledburian
Forfar
Caterhamians
Caterhamian
Kirriemuir
Cobhamites
Cobhamite
Stromness
Ewellians
Ewellian
Kirkwall
Dorkingians
Dorkingian
Aberdeen
Invernessians
Invernessian
Stirling
Arbroathians
Arbroathian
Shrewsbury
Carnoustians
Carnoustian
Aberystwyth
Forfarians
Forfarian
Helensburgh
Kirriemuirians
Kirriemuirian
Lochgilphead
Stromnessians
Stromnessian
Edinburgh
Kirkwallians
Kirkwallian
Inverkip
Aberdonians
Aberdonian
Clydebank
Stirlingers
Stirlinger
Cardiff
Salopians
Salopian
Brigend
Aberystwythians
Aberystwythian
Wrexham
Helensburghians
Helensburghian
Abergavenny
Helensburghers
Helensburgher
Lochgilpheaders
Lochgilpheader
Edinburghers
Edinburgher
Inverkippers
Inverkipper
Clydebankers
Clydebanker
Cardiffians
Cardiffian
Brigenders
Brigender
Wrexhamites
Wrexhamite
Abergavennians
Abergavennian
